Paper ID,Title,Authors
5458,Object Discovery via Contrastive Learning for Weakly Supervised Object Detection,Jinhwan Seo; Wonho Bae; Danica J. Sutherland; Junhyug Noh; Daijin Kim
7693,Federated Self-Supervised Learning for Video Understanding,Yasar Abbas Ur Rehman; Yan Gao; Jiajun Shen; Pedro Porto Buarque de Gusmão; Nicholas Lane
4806,TEMOS: Generating Diverse Human Motions from Textual Descriptions,Mathis Petrovich; Michael J. Black; Gül Varol
6655,S3C: Self-Supervised Stochastic Classifiers for Few-Shot Class-Incremental Learning,Jayateja Kalla; Soma Biswas
7741,Parameterized Temperature Scaling for Boosting the Expressive Power in Post-Hoc Uncertainty Calibration,Christian Tomani; Daniel Cremers; Florian Buettner
5315,Intelli-Paint: Towards Developing More Human-Intelligible Painting Agents,Jaskirat Singh; Cameron Smith; Jose Echevarria; Liang Zheng
6817,Expanded Adaptive Scaling Normalization for End to End Image Compression,Chajin Shin; Hyeongmin Lee; Hanbin Son; Sangjin Lee; Dogyoon Lee; Sangyoun Lee
1469,ARAH: Animatable Volume Rendering of Articulated Human SDFs,Shaofei Wang; Katja Schwarz; Andreas Geiger; Siyu Tang
7573,Scaling Adversarial Training to Large Perturbation Bounds,Sravanti Addepalli; Samyak Jain; Gaurang Sriramanan; R. Venkatesh Babu
1596,DualFormer: Local-Global Stratified Transformer for Efficient Video Recognition,Yuxuan Liang; Pan Zhou; Roger Zimmermann; Shuicheng Yan
6063,WISE: Whitebox Image Stylization by Example-Based Learning,Winfried Lötzsch; Max Reimann; Martin Büssemeyer; Amir Semmo; Jürgen Döllner; Matthias Trapp
1114,CramNet: Camera-Radar Fusion with Ray-Constrained Cross-Attention for Robust 3D Object Detection,Jyh-Jing Hwang; Henrik Kretzschmar; Joshua Manela; Sean Rafferty; Nicholas Armstrong-Crews; Tiffany Chen; Dragomir Anguelov
561,Particle Video Revisited: Tracking through Occlusions Using Point Trajectories,Adam W. Harley; Zhaoyuan Fang; Katerina Fragkiadaki
4222,Image Inpainting with Cascaded Modulation GAN and Object-Aware Training,Haitian Zheng; Zhe Lin; Jingwan Lu; Scott Cohen; Eli Shechtman; Connelly Barnes; Jianming Zhang; Ning Xu; Sohrab Amirghodsi; Jiebo Luo
1628,Learning to Detect Every Thing in an Open World,Kuniaki Saito; Ping Hu; Trevor Darrell; Kate Saenko
4252,Backbone Is All Your Need: A Simplified Architecture for Visual Object Tracking,Boyu Chen; Peixia Li; Lei Bai; Lei Qiao; Qiuhong Shen; Bo Li; Weihao Gan; Wei Wu; Wanli Ouyang
7039,Neural Correspondence Field for Object Pose Estimation,Lin Huang; Tomas Hodan; Lingni Ma; Linguang Zhang; Luan Tran; Christopher D. Twigg; Po-Chen Wu; Junsong Yuan; Cem Keskin; Robert Wang
4883,DANBO: Disentangled Articulated Neural Body Representations via Graph Neural Networks,Shih-Yang Su; Timur Bagautdinov; Helge Rhodin
3689,Three Things Everyone Should Know about Vision Transformers,Hugo Touvron; Matthieu Cord; Alaaeldin El-Nouby; Jakob Verbeek; Hervé Jégou
6946,Telepresence Video Quality Assessment,Zhenqiang Ying; Deepti Ghadiyaram; Alan Bovik
8042,OCR-Free Document Understanding Transformer,Geewook Kim; Teakgyu Hong; Moonbin Yim; JeongYeon Nam; Jinyoung Park; Jinyeong Yim; Wonseok Hwang; Sangdoo Yun; Dongyoon Han; Seunghyun Park
2863,BlobGAN: Spatially Disentangled Scene Representations,Dave Epstein; Taesung Park; Richard Zhang; Eli Shechtman; Alexei A. Efros
1791,Improving Robustness by Enhancing Weak Subnets,Yong Guo; David Stutz; Bernt Schiele
3685,VecGAN: Image-to-Image Translation with Interpretable Latent Directions,Yusuf Dalva; Said Fahri Altındiş; Aysegul Dundar
5317,Rethinking Few-Shot Object Detection on a Multi-Domain Benchmark,Kibok Lee; Hao Yang; Satyaki Chakraborty; Zhaowei Cai; Gurumurthy Swaminathan; Avinash Ravichandran; Onkar Dabeer
7028,Conditional-Flow NeRF: Accurate 3D Modelling with Reliable Uncertainty Quantification,Jianxiong Shen; Antonio Agudo; Francesc Moreno-Noguer; Adria Ruiz
3132,Learning Pedestrian Group Representations for Multi-modal Trajectory Prediction,Inhwan Bae; Jin-Hwi Park; Hae-Gon Jeon
5770,"ShAPO: Implicit Representations for Multi-Object Shape, Appearance, and Pose Optimization",Muhammad Zubair Irshad; Sergey Zakharov; Rareș Ambruș; Thomas Kollar; Zsolt Kira; Adrien Gaidon
1762,MoDA: Map Style Transfer for Self-Supervised Domain Adaptation of Embodied Agents,Eun Sun Lee; Junho Kim; SangWon Park; Young Min Kim
6512,BASQ: Branch-Wise Activation-Clipping Search Quantization for Sub-4-Bit Neural Networks,Han-Byul Kim; Eunhyeok Park; Sungjoo Yoo
2418,Multi-Person 3D Pose and Shape Estimation via Inverse Kinematics and Refinement,Junuk Cha; Muhammad Saqlain; GeonU Kim; Mingyu Shin; Seungryul Baek
222,Panoptic Scene Graph Generation,Jingkang Yang; Yi Zhe Ang; Zujin Guo; Kaiyang Zhou; Wayne Zhang; Ziwei Liu
2623,Social-SSL: Self-Supervised Cross-Sequence Representation Learning Based on Transformers for Multi-agent Trajectory Prediction,Li-Wu Tsao; Yan-Kai Wang; Hao-Siang Lin; Hong-Han Shuai; Lai-Kuan Wong; Wen-Huang Cheng
1135,Image-Based CLIP-Guided Essence Transfer,Hila Chefer; Sagie Benaim; Roni Paiss; Lior Wolf
1625,ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-Verified Image-Caption Associations for MS-COCO,Sanghyuk Chun; Wonjae Kim; Song Park; Minsuk Chang; Seong Joon Oh
2016,GIPSO: Geometrically Informed Propagation for Online Adaptation in 3D LiDAR Segmentation,Cristiano Saltori; Evgeny Krivosheev; Stéphane Lathuilière; Nicu Sebe; Fabio Galasso; Giuseppe Fiameni; Elisa Ricci; Fabio Poiesi
6619,Fast Two-View Motion Segmentation Using Christoffel Polynomials,Bengisu Ozbay; Octavia Camps; Mario Sznaier
2538,Dual Perspective Network for Audio-Visual Event Localization,Varshanth Rao; Md Ibrahim Khalil; Haoda Li; Peng Dai; Juwei Lu
3604,TREND: Truncated Generalized Normal Density Estimation of Inception Embeddings for GAN Evaluation,Junghyuk Lee; Jong-Seok Lee
7879,Grounding Visual Representations with Texts for Domain Generalization,Seonwoo Min; Nokyung Park; Siwon Kim; Seunghyun Park; Jinkyu Kim
3518,FrequencyLowCut Pooling – Plug & Play against Catastrophic Overfitting,Julia Grabinski; Steffen Jung; Janis Keuper; Margret Keuper
7110,GigaDepth: Learning Depth from Structured Light with Branching Neural Networks,Simon Schreiberhuber; Jean-Baptiste Weibel; Timothy Patten; Markus Vincze
2874,Diverse Human Motion Prediction Guided by Multi-level Spatial-Temporal Anchors,Sirui Xu; Yu-Xiong Wang; Liang-Yan Gui
2061,Hierarchical Average Precision Training for Pertinent Image Retrieval,Elias Ramzi; Nicolas Audebert; Nicolas Thome; Clément Rambour; Xavier Bitot
2350,IntereStyle: Encoding an Interest Region for Robust StyleGAN Inversion,Seung-Jun Moon; Gyeong-Moon Park
5591,Semi-Supervised Learning of Optical Flow by Flow Supervisor,Woobin Im; Sebin Lee; Sung-Eui Yoon
5940,SPSN: Superpixel Prototype Sampling Network for RGB-D Salient Object Detection,Minhyeok Lee; Chaewon Park; Suhwan Cho; Sangyoun Lee
3904,CANF-VC: Conditional Augmented Normalizing Flows for Video Compression,Yung-Han Ho; Chih-Peng Chang; Peng-Yu Chen; Alessandro Gnutti; Wen-Hsiao Peng
2649,Context-Enhanced Stereo Transformer,Weiyu Guo; Zhaoshuo Li; Yongkui Yang; Zheng Wang; Russell H. Taylor; Mathias Unberath; Alan Yuille; Yingwei Li
1549,AlignSDF: Pose-Aligned Signed Distance Fields for Hand-Object Reconstruction,Zerui Chen; Yana Hasson; Cordelia Schmid; Ivan Laptev
6986,Geometric Features Informed Multi-Person Human-Object Interaction Recognition in Videos,Tanqiu Qiao; Qianhui Men; Frederick W. B. Li; Yoshiki Kubotani; Shigeo Morishima; Hubert P. H. Shum
744,Streamable Neural Fields,Junwoo Cho; Seungtae Nam; Daniel Rho; Jong Hwan Ko; Eunbyung Park
6108,Vote from the Center: 6 DoF Pose Estimation in RGB-D Images by Radial Keypoint Voting,Yangzheng Wu; Mohsen Zand; Ali Etemad; Michael Greenspan
6912,PIP: Physical Interaction Prediction via Mental Simulation with Span Selection,Jiafei Duan; Samson Yu; Soujanya Poria; Bihan Wen; Cheston Tan
5293,DeepMend: Learning Occupancy Functions to Represent Shape for Repair,Nikolas Lamb; Sean Banerjee; Natasha Kholgade Banerjee
1576,DLCFT: Deep Linear Continual Fine-Tuning for General Incremental Learning,Hyounguk Shon; Janghyeon Lee; Seung Hwan Kim; Junmo Kim
4857,Self-Supervised Classification Network,Elad Amrani; Leonid Karlinsky; Alex Bronstein
7474,Towards Metrical Reconstruction of Human Faces,Wojciech Zielonka; Timo Bolkart; Justus Thies
4918,Learned Vertex Descent: A New Direction for 3D Human Model Fitting,Enric Corona; Gerard Pons-Moll; Guillem Alenyà; Francesc Moreno-Noguer
2596,Robust Landmark-Based Stent Tracking in X-Ray Fluoroscopy,Luojie Huang; Yikang Liu; Li Chen; Eric Z. Chen; Xiao Chen; Shanhui Sun
7043,The Missing Link: Finding Label Relations across Datasets,Jasper Uijlings; Thomas Mensink; Vittorio Ferrari
5616,Deep Ensemble Learning by Diverse Knowledge Distillation for Fine-Grained Object Classification,Naoki Okamoto; Tsubasa Hirakawa; Takayoshi Yamashita; Hironobu Fujiyoshi
1448,Multimodal Object Detection via Probabilistic Ensembling,Yi-Ting Chen; Jinghao Shi; Zelin Ye; Christoph Mertz; Deva Ramanan; Shu Kong
7545,Latent Space Smoothing for Individually Fair Representations,Momchil Peychev; Anian Ruoss; Mislav Balunović; Maximilian Baader; Martin Vechev
570,SUPR: A Sparse Unified Part-Based Human Representation,Ahmed A. A. Osman; Timo Bolkart; Dimitrios Tzionas; Michael J. Black
514,PolarMOT: How Far Can Geometric Relations Take Us in 3D Multi-Object Tracking?,Aleksandr Kim; Guillem Brasó; Aljoša Ošep; Laura Leal-Taixé
1035,Learning Instance-Specific Adaptation for Cross-Domain Segmentation,Yuliang Zou; Zizhao Zhang; Chun-Liang Li; Han Zhang; Tomas Pfister; Jia-Bin Huang
1257,Motion Inspired Unsupervised Perception and Prediction in Autonomous Driving,Mahyar Najibi; Jingwei Ji; Yin Zhou; Charles R. Qi; Xinchen Yan; Scott Ettinger; Dragomir Anguelov
5297,Graph Neural Network for Cell Tracking in Microscopy Videos,Tal Ben-Haim; Tammy Riklin Raviv
5988,Correspondence Reweighted Translation Averaging,Lalit Manam; Venu Madhav Govindu
4022,MotionCLIP: Exposing Human Motion Generation to CLIP Space,Guy Tevet; Brian Gordon; Amir Hertz; Amit H. Bermano; Daniel Cohen-Or
4217,Learning Audio-Video Modalities from Image Captions,Arsha Nagrani; Paul Hongsuck Seo; Bryan Seybold; Anja Hauth; Santiago Manen; Chen Sun; Cordelia Schmid
640,Long-Tail Detection with Effective Class-Margins,Jang Hyun Cho; Philipp Krähenbühl
3958,Unsupervised Domain Adaptation for One-Stage Object Detector Using Offsets to Bounding Box,Jayeon Yoo; Inseop Chung; Nojun Kwak
4998,NeRF for Outdoor Scene Relighting,Viktor Rudnev; Mohamed Elgharib; William Smith; Lingjie Liu; Vladislav Golyanik; Christian Theobalt
7070,A Comparative Study of Graph Matching Algorithms in Computer Vision,Stefan Haller; Lorenz Feineis; Lisa Hutschenreiter; Florian Bernard; Carsten Rother; Dagmar Kainmüller; Paul Swoboda; Bogdan Savchynskyy
1493,Quantized GAN for Complex Music Generation from Dance Videos,Ye Zhu; Kyle Olszewski; Yu Wu; Panos Achlioptas; Menglei Chai; Yan Yan; Sergey Tulyakov
4175,Visual Prompt Tuning,Menglin Jia; Luming Tang; Bor-Chun Chen; Claire Cardie; Serge Belongie; Bharath Hariharan; Ser-Nam Lim
6827,Embedding Contrastive Unsupervised Features to Cluster in- and Out-of-Distribution Noise in Corrupted Image Datasets,Paul Albert; Eric Arazo; Noel E. O’Connor; Kevin McGuinness
4593,Cross-Domain Ensemble Distillation for Domain Generalization,Kyungmoon Lee; Sungyeon Kim; Suha Kwak
8001,Bridging the Visual Semantic Gap in VLN via Semantically Richer Instructions,Joaquín Ossandón; Benjamín Earle; Alvaro Soto
5144,GAN Cocktail: Mixing GANs without Dataset Access,Omri Avrahami; Dani Lischinski; Ohad Fried
7092,PREF: Predictability Regularized Neural Motion Fields,Liangchen Song; Xuan Gong; Benjamin Planche; Meng Zheng; David Doermann; Junsong Yuan; Terrence Chen; Ziyan Wu
4894,"CHORE: Contact, Human and Object REconstruction from a Single RGB Image",Xianghui Xie; Bharat Lal Bhatnagar; Gerard Pons-Moll
5794,Controllable Video Generation through Global and Local Motion Dynamics,Aram Davtyan; Paolo Favaro
458,Online Segmentation of LiDAR Sequences: Dataset and Algorithm,Romain Loiseau; Mathieu Aubry; Loïc Landrieu
4220,Inverted Pyramid Multi-task Transformer for Dense Scene Understanding,Hanrong Ye; Dan Xu
5907,Domain Knowledge-Informed Self-Supervised Representations for Workout Form Assessment,Paritosh Parmar; Amol Gharat; Helge Rhodin
5172,Active Audio-Visual Separation of Dynamic Sound Sources,Sagnik Majumder; Kristen Grauman
3737,NeuMan: Neural Human Radiance Field from a Single Video,Wei Jiang; Kwang Moo Yi; Golnoosh Samei; Oncel Tuzel; Anurag Ranjan
4359,A Fast Knowledge Distillation Framework for Visual Recognition,Zhiqiang Shen; Eric Xing
7051,Contrasting Quadratic Assignments for Set-Based Representation Learning,Artem Moskalev; Ivan Sosnovik; Volker Fischer; Arnold Smeulders
2385,A Perturbation-Constrained Adversarial Attack for Evaluating the Robustness of Optical Flow,Jenny Schmalfuss; Philipp Scholze; Andrés Bruhn
1693,Generative Negative Text Replay for Continual Vision-Language Pretraining,Shipeng Yan; Lanqing Hong; Hang Xu; Jianhua Han; Tinne Tuytelaars; Zhenguo Li; Xuming He
7127,Privacy-Preserving Action Recognition via Motion Difference Quantization,Sudhakar Kumawat; Hajime Nagahara
5140,RealPatch: A Statistical Matching Framework for Model Patching with Real Samples,Sara Romiti; Christopher Inskip; Viktoriia Sharmanska; Novi Quadrianto
1737,A Reliable Online Method for Joint Estimation of Focal Length and Camera Rotation,Yiming Qian; James H. Elder
6194,Objects Can Move: 3D Change Detection by Geometric Transformation Consistency,Aikaterini Adam; Torsten Sattler; Konstantinos Karantzalos; Tomas Pajdla
6067,3D Equivariant Graph Implicit Functions,Yunlu Chen; Basura Fernando; Hakan Bilen; Matthias Nießner; Efstratios Gavves
5536,TextAdaIN: Paying Attention to Shortcut Learning in Text Recognizers,Oren Nuriel; Sharon Fogel; Ron Litman
4927,Learning to Fit Morphable Models,Vasileios Choutas; Federica Bogo; Jingjing Shen; Julien Valentin
5272,The Caltech Fish Counting Dataset: A Benchmark for Multiple-Object Tracking and Counting,Justin Kay; Peter Kulits; Suzanne Stathatos; Siqi Deng; Erik Young; Sara Beery; Grant Van Horn; Pietro Perona
2740,A Style-Based GAN Encoder for High Fidelity Reconstruction of Images and Videos,Xu Yao; Alasdair Newson; Yann Gousseau; Pierre Hellier
2691,Monocular 3D Object Detection with Depth from Motion,Tai Wang; Jiangmiao Pang; Dahua Lin
5001,FusionVAE: A Deep Hierarchical Variational Autoencoder for RGB Image Fusion,Fabian Duffhauss; Ngo Anh Vien; Hanna Ziesche; Gerhard Neumann
1119,Latent Discriminant Deterministic Uncertainty,Gianni Franchi; Xuanlong Yu; Andrei Bursuc; Emanuel Aldea; Severine Dubuisson; David Filliat
2166,Error Compensation Framework for Flow-Guided Video Inpainting,Jaeyeon Kang; Seoung Wug Oh; Seon Joo Kim
3757,Unpaired Image Translation via Vector Symbolic Architectures,Justin Theiss; Jay Leverett; Daeil Kim; Aayush Prakash
4901,Adaptive Token Sampling for Efficient Vision Transformers,Mohsen Fayyaz; Soroush Abbasi Koohpayegani; Farnoush Rezaei Jafari; Sunando Sengupta; Hamid Reza Vaezi Joze; Eric Sommerlade; Hamed Pirsiavash; Jürgen Gall
5271,Cross-Modal Knowledge Transfer without Task-Relevant Source Data,Sk Miraj Ahmed; Suhas Lohit; Kuan-Chuan Peng; Michael J. Jones; Amit K. Roy-Chowdhury
5667,The Challenges of Continuous Self-Supervised Learning,Senthil Purushwalkam; Pedro Morgado; Abhinav Gupta
6568,PACTran: PAC-Bayesian Metrics for Estimating the Transferability of Pretrained Models to Classification Tasks,Nan Ding; Xi Chen; Tomer Levinboim; Soravit Changpinyo; Radu Soricut
7302,Semidefinite Relaxations of Truncated Least-Squares in Robust Rotation Search: Tight or Not,Liangzu Peng; Mahyar Fazlyab; René Vidal
7345,Exploring Lottery Ticket Hypothesis in Spiking Neural Networks,Youngeun Kim; Yuhang Li; Hyoungseob Park; Yeshwanth Venkatesha; Ruokai Yin; Priyadarshini Panda
7464,Cartoon Explanations of Image Classifiers,Stefan Kolek; Duc Anh Nguyen; Ron Levie; Joan Bruna; Gitta Kutyniok
1552,Revisiting a kNN-based Image Classification System with High-capacity Storage,Kengo Nakata; Youyang Ng; Daisuke Miyashita; Asuka Maki; Yu-Chieh Lin; Jun Deguchi
1276,Physically-Based Editing of Indoor Scene Lighting from a Single Image,Zhengqin Li; Jia Shi; Sai Bi; Rui Zhu; Kalyan Sunkavalli; Miloš Hašan; Zexiang Xu; Ravi Ramamoorthi; Manmohan Chandraker
1742,A Level Set Theory for Neural Implicit Evolution under Explicit Flows,Ishit Mehta; Manmohan Chandraker; Ravi Ramamoorthi
4910,Implicit Field Supervision for Robust Non-rigid Shape Matching,Ramana Sundararaman; Gautam Pai; Maks Ovsjanikov
5713,Shape-Pose Disentanglement Using SE(3)-Equivariant Vector Neurons,Oren Katzir; Dani Lischinski; Daniel Cohen-Or
7414,Unsupervised Pose-Aware Part Decomposition for Man-Made Articulated Objects,Yuki Kawana; Yusuke Mukuta; Tatsuya Harada
2012,Combating Label Distribution Shift for Active Domain Adaptation,Sehyun Hwang; Sohyun Lee; Sungyeon Kim; Jungseul Ok; Suha Kwak
1103,Skeleton-Free Pose Transfer for Stylized 3D Characters,Zhouyingcheng Liao; Jimei Yang; Jun Saito; Gerard Pons-Moll; Yang Zhou
3758,ConMatch: Semi-Supervised Learning with Confidence-Guided Consistency Regularization,Jiwon Kim; Youngjo Min; Daehwan Kim; Gyuseong Lee; Junyoung Seo; Kwangrok Ryoo; Seungryong Kim
5712,Overcoming Shortcut Learning in a Target Domain by Generalizing Basic Visual Factors from a Source Domain,Piyapat Saranrittichai; Chaithanya Kumar Mummadi; Claudia Blaiotta; Mauricio Munoz; Volker Fischer
3757,Unpaired Image Translation via Vector Symbolic Architectures,Justin Theiss; Jay Leverett; Daeil Kim; Aayush Prakash
7238,Bi-directional Contrastive Learning for Domain Adaptive Semantic Segmentation,Geon Lee; Chanho Eom; Wonkyung Lee; Hyekang Park; Bumsub Ham
5224,SelectionConv: Convolutional Neural Networks for Non-Rectilinear Image Data,David Hart; Michael Whitney; Bryan Morse
1441,Static and Dynamic Concepts for Self-Supervised Video Representation Learning,Rui Qian; Shuangrui Ding; Xian Liu; Dahua Lin
2149,SPot-the-Difference Self-Supervised Pre-training for Anomaly Detection and Segmentation,Yang Zou; Jongheon Jeong; Latha Pemula; Dongqing Zhang; Onkar Dabeer
4901,Adaptive Token Sampling for Efficient Vision Transformers,Mohsen Fayyaz; Soroush Abbasi Koohpayegani; Farnoush Rezaei Jafari; Sunando Sengupta; Hamid Reza Vaezi Joze; Eric Sommerlade; Hamed Pirsiavash; Jürgen Gall
1886,My View Is the Best View: Procedure Learning from Egocentric Videos,Siddhant Bansal; Chetan Arora; C.V. Jawahar
1541,TL;DW? Summarizing Instructional Videos with Task Relevance & Cross-Modal Saliency,Medhini Narasimhan; Arsha Nagrani; Chen Sun; Michael Rubinstein; Trevor Darrell; Anna Rohrbach; Cordelia Schmid
1471,Learning Hierarchy Aware Features for Reducing Mistake Severity,Ashima Garg; Depanshu Sani; Saket Anand
7375,On the Angular Update and Hyperparameter Tuning of a Scale-Invariant Network,Juseung Yun; Janghyeon Lee; Hyounguk Shon; Eojindl Yi; Seung Hwan Kim; Junmo Kim
5271,Cross-Modal Knowledge Transfer without Task-Relevant Source Data,Sk Miraj Ahmed; Suhas Lohit; Kuan-Chuan Peng; Michael J. Jones; Amit K. Roy-Chowdhury
5905,ClearPose: Large-Scale Transparent Object Dataset and Benchmark,Xiaotong Chen; Huijie Zhang; Zeren Yu; Anthony Opipari; Odest Chadwicke Jenkins
74,AvatarPoser: Articulated Full-Body Pose Tracking from Sparse Motion Sensing,Jiaxi Jiang; Paul Streli; Huajian Qiu; Andreas Fender; Larissa Laich; Patrick Snape; Christian Holz
4880,Custom Structure Preservation in Face Aging,Guillermo Gomez-Trenado; Stéphane Lathuilière; Pablo Mesejo; Óscar Cordón
6011,Learning Where to Look – Generative NAS Is Surprisingly Efficient,Jovita Lukasik; Steffen Jung; Margret Keuper
5667,The Challenges of Continuous Self-Supervised Learning,Senthil Purushwalkam; Pedro Morgado; Abhinav Gupta
4293,AirDet: Few-Shot Detection without Fine-Tuning for Autonomous Exploration,Bowen Li; Chen Wang; Pranay Reddy; Seungchan Kim; Sebastian Scherer
7304,Bridging the Domain Gap towards Generalization in Automatic Colorization,Hyejin Lee; Daehee Kim; Daeun Lee; Jinkyu Kim; Jaekoo Lee
2545,Is Appearance Free Action Recognition Possible?,Filip Ilic; Thomas Pock; Richard P. Wildes
6973,Object Detection As Probabilistic Set Prediction,Georg Hess; Christoffer Petersson; Lennart Svensson
6565,DProST: Dynamic Projective Spatial Transformer Network for 6D Pose Estimation,Jaewoo Park; Nam Ik Cho
1336,RC-MVSNet: Unsupervised Multi-View Stereo with Neural Rendering,Di Chang; Aljaž Božič; Tong Zhang; Qingsong Yan; Yingcong Chen; Sabine Süsstrunk; Matthias Nießner
2709,Few-Shot Image Generation with Mixup-Based Distance Learning,Chaerin Kong; Jeesoo Kim; Donghoon Han; Nojun Kwak
3429,PlaneFormers: From Sparse View Planes to 3D Reconstruction,Samir Agarwala; Linyi Jin; Chris Rockwell; David F. Fouhey
6693,PoseGPT: Quantization-Based 3D Human Motion Generation and Forecasting,Thomas Lucas; Fabien Baradel; Philippe Weinzaepfel; Grégory Rogez
6568,PACTran: PAC-Bayesian Metrics for Estimating the Transferability of Pretrained Models to Classification Tasks,Nan Ding; Xi Chen; Tomer Levinboim; Soravit Changpinyo; Radu Soricut
1424,ARF: Artistic Radiance Fields,Kai Zhang; Nick Kolkin; Sai Bi; Fujun Luan; Zexiang Xu; Eli Shechtman; Noah Snavely
7044,On Label Granularity and Object Localization,Elijah Cole; Kimberly Wilber; Grant Van Horn; Xuan Yang; Marco Fornoni; Pietro Perona; Serge Belongie; Andrew Howard; Oisin Mac Aodha
4705,The Surprisingly Straightforward Scene Text Removal Method with Gated Attention and Region of Interest Generation: A Comprehensive Prominent Model Analysis,Hyeonsu Lee; Chankyu Choi
6394,Order Learning Using Partially Ordered Data via Chainization,Seon-Ho Lee; Chang-Su Kim
4970,LaLaLoc++: Global Floor Plan Comprehension for Layout Localisation in Unvisited Environments,Henry Howard-Jenkins; Victor Adrian Prisacariu
7350,A Dataset Generation Framework for Evaluating Megapixel Image Classifiers & Their Explanations,Gautam Machiraju; Sylvia Plevritis; Parag Mallick
6513,AdaNeRF: Adaptive Sampling for Real-Time Rendering of Neural Radiance Fields,Andreas Kurz; Thomas Neff; Zhaoyang Lv; Michael Zollhöfer; Markus Steinberger
6715,Frozen CLIP Models Are Efficient Video Learners,Ziyi Lin; Shijie Geng; Renrui Zhang; Peng Gao; Gerard de Melo; Xiaogang Wang; Jifeng Dai; Yu Qiao; Hongsheng Li
626,R2L: Distilling Neural Radiance Field to Neural Light Field for Efficient Novel View Synthesis,Huan Wang; Jian Ren; Zeng Huang; Kyle Olszewski; Menglei Chai; Yun Fu; Sergey Tulyakov
7302,Semidefinite Relaxations of Truncated Least-Squares in Robust Rotation Search: Tight or Not,Liangzu Peng; Mahyar Fazlyab; René Vidal
267,DVS-Voltmeter: Stochastic Process-Based Event Simulator for Dynamic Vision Sensors,Songnan Lin; Ye Ma; Zhenhua Guo; Bihan Wen
5042,Zero-Shot Category-Level Object Pose Estimation,Walter Goodwin; Sagar Vaze; Ioannis Havoutis; Ingmar Posner
2581,Studying Bias in GANs through the Lens of Race,Vongani H. Maluleke; Neerja Thakkar; Tim Brooks; Ethan Weber; Trevor Darrell; Alexei A. Efros; Angjoo Kanazawa; Devin Guillory
656,Structural Causal 3D Reconstruction,Weiyang Liu; Zhen Liu; Liam Paull; Adrian Weller; Bernhard Schölkopf
1356,Prediction-Guided Distillation for Dense Object Detection,Chenhongyi Yang; Mateusz Ochal; Amos Storkey; Elliot J. Crowley
3591,CLASTER: Clustering with Reinforcement Learning for Zero-Shot Action Recognition,Shreyank N Gowda; Laura Sevilla-Lara; Frank Keller; Marcus Rohrbach
2134,Transform Your Smartphone into a DSLR Camera: Learning the ISP in the Wild,Ardhendu Shekhar Tripathi; Martin Danelljan; Samarth Shukla; Radu Timofte; Luc Van Gool
